protocol,carrier,num_tcp_conn,server_location,run_num,seq_num,throughput_mbps
0,1,8,1,72,23,0.3612399852139436
0,1,8,1,72,24,0.37142248944350265
0,1,8,1,72,25,0.43756747233355725
0,1,8,1,72,26,0.3765088529467775
0,1,8,1,72,27,0.41212671693857295
0,1,8,1,72,28,0.3968603043611251
0,1,8,1,72,29,0.3968627644593666
0,1,8,1,72,30,0.3561560040894477
0,1,8,1,72,31,0.31545531874616695
0,1,8,1,72,32,0.36124032971406506
0,1,8,1,72,33,0.4426607431515919
0,1,8,1,72,34,0.31545215992782266
0,1,8,1,72,35,0.3510694840920484
0,1,8,1,72,36,0.4273862878404455
0,1,8,1,72,37,0.47319155229597576
0,1,8,1,72,38,0.44773086381112626
0,1,8,1,72,39,0.3917774891119631
0,1,8,1,72,40,0.3917731923925759
0,1,8,1,72,41,0.3307179453386945
0,1,8,1,72,42,0.34597871597352586
0,1,8,1,72,43,0.34089282554096634
0,1,8,1,72,44,0.3612461863166633
0,1,8,1,72,45,0.38160099552533927
0,1,8,1,72,46,0.29508718115116006
0,1,8,1,72,47,0.31545998187934704
0,1,8,1,72,48,0.30017782530879694
0,1,8,1,72,49,0.35618700031771233
0,1,8,1,72,50,0.3052759926689803
0,1,8,1,72,51,0.35106036087569553
0,1,8,1,72,52,0.33071692030093763
0,1,8,1,72,53,0.3408860798551663
0,1,8,1,72,54,0.3561766393342984
0,1,8,1,72,55,0.36629451226117843
0,1,8,1,72,56,0.3409058300260362
0,1,8,1,72,57,0.38160490777294637
0,1,8,1,72,58,0.3001927831466002
0,1,8,1,72,59,0.26964940248587504
0,1,8,1,72,60,0.3804126896885561
0,1,8,1,73,0,0.013667037897122442
0,1,8,1,73,1,0.01794327982439785
0,1,8,1,73,2,0.025319902292107815
0,1,8,1,73,3,0.03475704395547321
0,1,8,1,73,4,0.050415359175150436
0,1,8,1,73,5,0.06489215869055563
0,1,8,1,73,6,0.08460634054718491
0,1,8,1,73,7,0.1073219669098595
0,1,8,1,73,8,0.11056857482304831
0,1,8,1,73,9,0.12428561215130363
0,1,8,1,73,10,0.13312266316521193
0,1,8,1,73,11,0.16662016812671587
0,1,8,1,73,12,0.15143535978941233
0,1,8,1,73,13,0.12944345403592794
0,1,8,1,73,14,0.16432691883345069
0,1,8,1,73,15,0.16401180688232705
0,1,8,1,73,16,0.18434690531254913
0,1,8,1,73,17,0.1755879833137428
0,1,8,1,73,18,0.18546454113458247
0,1,8,1,73,19,0.2038867749793289
0,1,8,1,73,20,0.22937167460631447
0,1,8,1,73,21,0.2356961607042379
0,1,8,1,73,22,0.25582942498681793
0,1,8,1,73,23,0.29963365069877956
0,1,8,1,73,24,0.2391412136675584
0,1,8,1,73,25,0.21366731638016404
0,1,8,1,73,26,0.2696795883043944
0,1,8,1,73,27,0.28494019048002295
0,1,8,1,73,28,0.26453617522129974
0,1,8,1,73,29,0.2691842588019846
0,1,8,1,73,30,0.21351276189252402
0,1,8,1,73,31,0.19894883149650708
0,1,8,1,73,32,0.21355267064882377
0,1,8,1,73,33,0.21895386551849977
0,1,8,1,73,34,0.1984166699495019
0,1,8,1,73,35,0.23912972523240308
0,1,8,1,73,36,0.26457833033549916
0,1,8,1,73,37,0.27982398437976835
0,1,8,1,73,38,0.26432772499392754
0,1,8,1,73,39,0.2546520513082486
0,1,8,1,73,40,0.2747420395961635
0,1,8,1,73,41,0.26967365669155285
0,1,8,1,73,42,0.27983686035599464
0,1,8,1,73,43,0.2594814695974684
0,1,8,1,73,44,0.2798200817919657
0,1,8,1,73,45,0.2849427551763475
0,1,8,1,73,46,0.28493363457873994
0,1,8,1,73,47,0.28492110107871216
0,1,8,1,73,48,0.274748360649752
0,1,8,1,73,49,0.3052768660670613
0,1,8,1,73,50,0.2849162442193217
0,1,8,1,73,51,0.27980664037826486
0,1,8,1,73,52,0.2849712586840799
0,1,8,1,73,53,0.2849307813273255
0,1,8,1,73,54,0.27472225952536095
0,1,8,1,73,55,0.2849510270611895
0,1,8,1,73,56,0.2636654866216465
0,1,8,1,73,57,0.29612201556347345
0,1,8,1,73,58,0.3154524607649393
0,1,8,1,73,59,0.34598910964858043
0,1,8,1,73,60,0.3908950664693498
0,1,8,1,74,0,0.06712590263646083
0,1,8,1,74,1,0.11128217246129049
0,1,8,1,74,2,0.15405202789674807
0,1,8,1,74,3,0.1944829783266157
0,1,8,1,74,4,0.20669615419483017
0,1,8,1,74,5,0.1934817676765771
0,1,8,1,74,6,0.20079452824467053
0,1,8,1,74,7,0.21420899903673982
0,1,8,1,74,8,0.20924525715127054
0,1,8,1,74,9,0.23349423106600364
0,1,8,1,74,10,0.2402255031548287
0,1,8,1,74,11,0.269634200102975
0,1,8,1,74,12,0.22931632641418326
0,1,8,1,74,13,0.3119740457164968
0,1,8,1,74,14,0.28238317713903816
0,1,8,1,74,15,0.282927445499657
0,1,8,1,74,16,0.30865995250611966
0,1,8,1,74,17,0.3035462365496068
0,1,8,1,74,18,0.32049873515385724
0,1,8,1,74,19,0.33712267727249
0,1,8,1,74,20,0.3468378018627864
0,1,8,1,74,21,0.3492177288420342
0,1,8,1,74,22,0.3861468358470586
0,1,8,1,74,23,0.366205810200316
0,1,8,1,74,24,0.22895811354529422
0,1,8,1,74,25,0.2594910588765903
0,1,8,1,74,26,0.27984134721159126
0,1,8,1,74,27,0.26966394805638877
0,1,8,1,74,28,0.27983602638382266
0,1,8,1,74,29,0.24931568195265363
0,1,8,1,74,30,0.24422615107892223
0,1,8,1,74,31,0.2340439791120836
0,1,8,1,74,32,0.27475386315080597
0,1,8,1,74,33,0.24420149361824048
0,1,8,1,74,34,0.2696733834257041
0,1,8,1,74,35,0.29511043388762526
0,1,8,1,74,36,0.23911179635697388
0,1,8,1,74,37,0.29003914434257055
0,1,8,1,74,38,0.25438698685622924
0,1,8,1,74,39,0.26966394805638877
0,1,8,1,74,40,0.23405239123743776
0,1,8,1,74,41,0.24931269499086545
0,1,8,1,74,42,0.25439867726813087
0,1,8,1,74,43,0.2645801754774766
0,1,8,1,74,44,0.24929175854651162
0,1,8,1,74,45,0.22388695641291795
0,1,8,1,74,46,0.2391294971853105
0,1,8,1,74,47,0.2645648316180991
0,1,8,1,74,48,0.20353197100590073
0,1,8,1,74,49,0.239128071900836
0,1,8,1,74,50,0.2391381062647781
0,1,8,1,74,51,0.2442237054884971
0,1,8,1,74,52,0.2747453474687581
0,1,8,1,74,53,0.2238753062431991
0,1,8,1,74,54,0.2086046151037999
0,1,8,1,74,55,0.25438950376725156
0,1,8,1,74,56,0.26457462435885615
0,1,8,1,74,57,0.27474616626140164
0,1,8,1,74,58,0.2543849248457608
0,1,8,1,74,59,0.3714421273783037
0,1,8,1,74,60,0.25839274833948056
0,1,8,1,75,0,0.014357266666812137
0,1,8,1,75,1,0.017762621770411144
0,1,8,1,75,2,0.0299080136777436
0,1,8,1,75,3,0.0463602417041804
0,1,8,1,75,4,0.06189176294412417
